Date,Open,High,Low,Close,Adj Close,Volume,ret_1d,ret_3d,ret_5d,ret_10d,ret_20d,ma_5,ma_10,ma_20,ma_50,dist_ma20,dist_ma50,vol_5,vol_10,vol_20,roll_high_20,roll_high_60,drawdown_20,drawdown_60,roll_min_10,roll_max_10,roll_min_20,roll_max_20,rsi,macd,macd_signal,bb_mid,bb_upper,bb_lower,bb_dist_lower,candle_body,candle_range,upper_wick,lower_wick,bullish_candle,bearish_candle,hammer_like,doji_like,close_above_ma50,label,rule_score,rule_hits,rule_signal
2008-02-21,5156.89990234375,5241.35009765625,5120.0498046875,5191.7998046875,5191.7998046875,0,0.007246089875689643,-0.016126911488022033,-0.0019608218593809568,0.011405991270150517,0.03145945687959051,5241.369921875,5115.389990234375,5205.882495117187,,-0.0027051495001848558,,0.016010585505384492,0.02805232831783352,0.029817298010697588,5483.89990234375,,-0.05326503088275003,,4838.25,5302.89990234375,4838.25,5483.89990234375,45.82041316328261,-131.4049503425258,-173.31028137771415,5205.882495117187,5557.2377118822615,4854.527278352113,0.06947587416789114,0.006767612907880645,0.023521940558439085,0.009608542711141237,0.0071457849394172,1,0,0,0,0,0.0,0.5,2,DIP WATCH
2008-02-22,5183.39990234375,5184.0,5092.7998046875,5110.75,5110.75,0,-0.015611119021639253,-0.03220152457522729,-0.03623487259467684,-0.001874890871357504,-0.05063763134686927,5202.93994140625,5114.42998046875,5192.252490234375,,-0.015696942779201417,,0.012524640589800046,0.02856110721818941,0.02541905117781387,5483.89990234375,,-0.06804462316758741,,4838.25,5302.89990234375,4838.25,5483.89990234375,43.31263217510375,-128.47080456483855,-164.34238601513903,5192.252490234375,5535.680938514148,4848.824041954602,0.0540184497888716,-0.014015878325517636,0.017594667019857468,0.0001157729805833922,0.0034630157137564396,0,1,0,0,0,0.0,0.5,2,DIP WATCH
2008-02-25,5112.25,5212.35009765625,5055.14990234375,5200.7001953125,5200.7001953125,0,0.017600194748813802,0.008972828962836799,-0.014440241134270115,0.07076388620805019,-0.013917047645031988,5187.7,5148.8,5188.582495117187,,0.002335454858184649,,0.016882376080089495,0.02237285716912767,0.025418597943535667,5483.89990234375,,-0.05164202703813281,,4838.25,5302.89990234375,4838.25,5483.89990234375,46.79306810032138,-117.53240349397402,-154.98038951090604,5188.582495117187,5529.8904055732655,4847.274584661109,0.07291223232324895,0.017301617744143967,0.03074970811531126,0.002278820938676708,0.011169269432490586,1,0,0,0,0,0.0,0.5,2,DIP WATCH
2008-02-26,5200.7998046875,5281.2001953125,5200.7998046875,5270.0498046875,5270.0498046875,0,0.01333466778906156,0.01507184462878386,-0.002035676487955107,0.08924710477703712,-0.002035676487955107,5185.55,5191.97998046875,5188.044995117188,,0.01580649544240509,,0.018411201782822125,0.02209749113658933,0.025602653422128932,5483.89990234375,,-0.03899598852357844,,4929.4501953125,5302.89990234375,4838.25,5483.89990234375,49.373836092455505,-102.09086796416432,-144.4024852015577,5188.044995117188,5528.77479653691,4847.3151936974655,0.08721005218304745,0.013315259690939213,0.01545923581840909,0.0021439761274698772,0.0,1,0,0,0,0,0.0,0.25,1,NO DIP
2008-02-27,5271.39990234375,5368.14990234375,5249.75,5268.39990234375,5268.39990234375,0,-0.0003130714898145204,0.030846725498948402,0.02210705365528165,0.0687601443571868,0.019506115562854198,5208.33994140625,5225.874951171875,5193.084985351563,,0.014502924023895636,,0.013084517563894477,0.0219597626132723,0.025093359445550623,5483.89990234375,,-0.039296851481169126,,5110.75,5302.89990234375,4838.25,5483.89990234375,49.3125534981154,-88.96098626351068,-133.3141854139483,5193.084985351563,5535.519205154029,4850.650765549097,0.08612228688192602,-0.0005691087862004458,0.022460808236367626,0.018353758354964375,0.0035379410952028037,0,1,0,1,0,0.0,0.0,0,NO DIP
2008-02-28,5266.35009765625,5302.85009765625,5227.14990234375,5285.10009765625,5285.10009765625,0,0.0031698799677433165,0.01622856522662497,0.017970703123897813,0.015974643917002984,0.02873991897351491,5227.0,5234.1849609375,5200.46748046875,,0.016274040267601375,,0.012993526426202858,0.013901275384856871,0.025039988907992545,5483.89990234375,,-0.036251537815731316,,5110.75,5302.89990234375,4838.25,5483.89990234375,49.98918497612204,-76.32803218520894,-121.91695476820044,5200.46748046875,5544.215307893795,4856.719653043705,0.08820365909818961,0.0035603405873727515,0.014374318818300707,0.003370455756046205,0.00744352247488175,1,0,1,0,0,0.0,0.0,0,NO DIP
2008-02-29,5285.0,5290.7998046875,5098.35009765625,5223.5,5223.5,0,-0.011655426863829366,-0.008832896540388657,0.022061341290417147,-0.014972921195185562,-0.017631294372090878,5249.55,5226.244970703125,5195.77998046875,,0.005335102647812562,,0.011571221709000257,0.012937175912442934,0.02392453677735708,5483.89990234375,,-0.04748443753184817,,5110.75,5285.10009765625,4838.25,5483.89990234375,47.4718969790525,-70.4745513706821,-111.62847408869678,5195.77998046875,5535.354044646438,4856.205916291063,0.0756339599350142,-0.011636707663197729,0.03641432488765374,0.0010974086447492904,0.023680208579706718,0,1,1,0,0,0.0,0.0,0,NO DIP
2008-03-03,5222.7998046875,5222.7998046875,4936.0498046875,4953.0,4953.0,0,-0.05178520149325161,-0.05986635566587084,-0.04762823966198959,-0.061380717530739815,-0.09343827216985445,5200.0099609375,5193.85498046875,5170.25498046875,,-0.04202016753321758,,0.025293374192861835,0.02057492426715211,0.025534607902840473,5483.89990234375,,-0.09681064785971938,,4953.0,5285.10009765625,4838.25,5483.89990234375,38.34138385763668,-86.66370969125819,-106.63552120920907,5170.25498046875,5501.746882919288,4838.763078018212,0.023608703327664404,-0.05165807895706681,0.05490350209147206,0.0,0.0032454231344052433,0,1,0,0,0,0.0,0.5,2,DIP WATCH
2008-03-04,4958.5498046875,4976.7001953125,4812.9501953125,4864.25,4864.25,0,-0.01791843327276399,-0.07962954151859525,-0.07700113276473353,-0.0788800598571735,-0.11299438599871592,5118.85,5152.2,5139.272485351563,,-0.05351389445402199,,0.02188750626960146,0.02072917832880077,0.025622359350198052,5322.5498046875,,-0.08610531070726313,,4864.25,5285.10009765625,4838.25,5322.5498046875,35.9015641009853,-105.43967464679554,-106.39635189672637,5139.272485351563,5463.075641145095,4815.469329558031,0.010129992967154111,-0.01901761773136874,0.033023768329442024,0.003660423176115276,0.01034572742195801,0,1,0,0,0,0.0,0.5,2,DIP WATCH
2008-03-05,4866.85009765625,4936.75,4847.25,4921.39990234375,4921.39990234375,0,0.011748964864830125,-0.05783480380133055,-0.06586440027941509,-0.04521341445508342,-0.07536799411260797,5049.45,5128.894970703125,5119.214990234375,,-0.03864168398240464,,0.024514547481120617,0.020750865993644677,0.025264485361347275,5302.89990234375,,-0.07194176903685967,,4864.25,5285.10009765625,4838.25,5302.89990234375,38.61060240600955,-114.38963019825133,-107.99500755703137,5119.214990234375,5444.9084599489115,4793.521520519839,0.026677335498859422,0.01120844151616048,0.018389717826546765,0.0031540107766298807,0.004027265533756403,1,0,0,0,0,0.0,0.5,2,DIP WATCH
